,coefficients
Id,0.0
PID,-2201.64854569194
MS SubClass,-5112.375612613377
MS Zoning,-820.7969538238095
Lot Frontage,0.0
Lot Area,2071.9884140577497
Street,0.0
Alley,-0.0
Lot Shape,-0.0
Land Contour,1778.272666672791
Utilities,-0.0
Lot Config,-182.63832257025788
Land Slope,-240.56744658649794
Neighborhood,2396.7469471176437
Condition 1,0.0
Condition 2,-0.0
Bldg Type,0.0
House Style,-0.0
Overall Qual,24606.81202067942
Overall Cond,1942.9385418911445
Year Built,5475.140857934596
Year Remod/Add,4492.215407814502
Roof Style,-2009.7248676241907
Roof Matl,-0.0
Exterior 1st,0.0
Exterior 2nd,0.0
Mas Vnr Type,-277.1895425265702
Mas Vnr Area,5243.843364156943
Foundation,3688.2829177896338
Bsmt Exposure,-5956.909074509388
BsmtFin SF 1,4283.58538542962
BsmtFin SF 2,0.0
Bsmt Unf SF,-0.0
Total Bsmt SF,4789.180323558482
Heating,0.0
Central Air,0.0
Electrical,0.0
1st Flr SF,1404.2438557119342
2nd Flr SF,0.0
Low Qual Fin SF,-0.0
Gr Liv Area,21809.243509080898
Bsmt Full Bath,3473.477923351157
Bsmt Half Bath,-0.0
Full Bath,0.0
Half Bath,0.0
Bedroom AbvGr,-48.05114033166796
Kitchen AbvGr,-1945.4162053432672
TotRms AbvGrd,1572.4983366486574
Functional,-1379.8193028447024
Fireplaces,3152.5572787724905
Garage Type,-907.5983408081232
Garage Yr Blt,-0.0
Garage Cars,3257.084699767653
Garage Area,4409.104214981544
Paved Drive,-0.0
Wood Deck SF,1545.2070818400048
Open Porch SF,0.0
Enclosed Porch,0.0
3Ssn Porch,0.0
Screen Porch,3296.492802771948
Pool Area,-1793.0817817182324
Fence,-0.0
Misc Feature,0.0
Misc Val,-4962.268819101166
Mo Sold,0.0
Yr Sold,-0.0
Sale Type,-2542.942540486525
