,Predicted Price,Price
0,204496.15077227546,176500
1,116654.33197611093,125000
2,194936.50355931188,190000
3,178303.92795243184,176000
4,109137.47272000811,115000
5,227064.4141374104,214000
6,263416.4537133694,264132
7,210469.30737891432,178000
8,89301.38998699945,109008
9,187410.31832491356,176000
10,228942.99770171425,205000
11,141737.97088915817,130000
12,128400.08569323672,108000
13,189671.881238054,156500
14,160153.4765507991,127500
15,101884.4786568416,125500
16,99054.4764283384,108000
17,302973.66429510294,336860
18,311301.2579345565,350000
19,384375.2253205035,475000
20,195881.7937799756,175500
21,72565.93496868515,91000
22,140970.46732256497,124000
23,109776.49081231843,130000
24,310881.39531967865,325000
25,157993.90061065642,129000
26,233568.03969568812,235000
27,178113.2933073884,160000
28,141205.1234617871,147500
29,102656.26728667956,108000
30,143474.54338537276,128500
31,278031.0123997314,270000
32,227637.4675856121,190000
33,167188.8750834358,143500
34,237707.05973190622,204000
35,137170.8752435407,139900
36,273851.6773035737,307000
37,182610.0447140963,180000
38,112045.83126346304,130000
39,117597.10257418471,132500
40,190692.35887147184,122000
41,106476.44068153604,119750
42,153278.746327686,153575
43,111074.92522306368,139000
44,148511.9846535348,100000
45,138232.93648478063,150000
46,149342.35519857428,137000
47,197806.4482696883,176000
48,182706.5451955368,156000
49,217821.4119829975,198500
50,108706.0624942035,120000
51,184624.14910274936,165500
52,145879.6026640428,148000
53,190169.30674887478,190000
54,188209.29836667317,183200
55,217690.1687330809,190000
56,121404.43109387136,112500
57,156228.1114074568,126000
58,77465.99280444604,97900
59,128742.30596785396,135000
60,83161.96987286171,105000
61,238725.59037826394,225000
62,146734.27193478378,142100
63,172679.13893885323,146000
64,293427.96041191544,268000
65,93359.06206152053,90350
66,138410.24181262177,135000
67,167845.4627101776,160000
68,233388.73679364286,219210
69,240828.03409990357,260000
70,194437.18511631744,192350
71,124673.58818652623,132000
72,99240.32688481864,87500
73,225381.5096570311,231713
74,156697.03138501692,143000
75,262195.3922999691,270000
76,72146.79369798662,86900
77,132781.8825498168,113000
78,-2290.583814156591,35000
79,167454.27123315685,164700
80,197108.8935942732,187000
