,coefficients
Id,0.0
PID,-2203.7427108102866
MS SubClass,-5113.607536590974
MS Zoning,-821.9253314590792
Lot Frontage,0.0
Lot Area,2072.3679638794274
Street,0.0
Alley,-0.0
Lot Shape,-0.0
Land Contour,1778.9496173697855
Utilities,-0.0
Lot Config,-183.97425518212896
Land Slope,-241.77845074791895
Neighborhood,2399.0603941267104
Condition 1,0.0
Condition 2,-0.0
Bldg Type,0.0
House Style,-0.0
Overall Qual,24603.43665841642
Overall Cond,1947.148925605131
Year Built,5480.11475766032
Year Remod/Add,4489.730179970597
Roof Style,-2010.9995674722345
Roof Matl,-0.0
Exterior 1st,0.0
Exterior 2nd,0.0
Mas Vnr Type,-282.6032596455866
Mas Vnr Area,5247.058807078417
Foundation,3688.7383294050314
Bsmt Exposure,-5957.17254221908
BsmtFin SF 1,4283.431693083082
BsmtFin SF 2,0.0
Bsmt Unf SF,-0.0
Total Bsmt SF,4788.599575402442
Heating,0.0
Central Air,0.0
Electrical,0.0
1st Flr SF,1404.7995552973437
2nd Flr SF,0.0
Low Qual Fin SF,-0.0
Gr Liv Area,21810.207689639294
Bsmt Full Bath,3474.6883938098767
Bsmt Half Bath,-0.0
Full Bath,0.0
Half Bath,0.0
Bedroom AbvGr,-52.79408070038362
Kitchen AbvGr,-1948.3429695325408
TotRms AbvGrd,1578.1658843588975
Functional,-1381.4951957614555
Fireplaces,3152.6669059774763
Garage Type,-912.1932104864037
Garage Yr Blt,-0.0
Garage Cars,3259.1616764000455
Garage Area,4407.895009414119
Paved Drive,-0.0
Wood Deck SF,1546.2053871474247
Open Porch SF,0.0
Enclosed Porch,0.0
3Ssn Porch,0.0
Screen Porch,3298.3487603739723
Pool Area,-1795.587212488858
Fence,-0.0
Misc Feature,0.0
Misc Val,-4964.843959495843
Mo Sold,0.0
Yr Sold,-0.0
Sale Type,-2543.8459119811755
