,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
0,109,533352170,60,4,0.0,13517,2,2,2,1,2,1,2,12,4,5,3,2,6,8,1976,2005,2,1,11,1,5,289.0,Gd,TA,1,TA,TA,5,GLQ,533.0,Unf,0.0,192.0,725.0,5,Ex,1,3,725,754,0,1479,0.0,0.0,2,1,3,1,Gd,6,3,0,N/A,6,1976.0,RFn,2.0,475.0,TA,TA,1,0,44,0,0,0,0,N/A,2,1,0,3,2010,3,130500
1,544,531379050,60,4,43.0,11492,2,2,2,1,2,1,2,16,5,5,3,2,7,5,1996,1997,2,1,1,2,5,132.0,Gd,TA,6,Gd,TA,5,GLQ,637.0,Unf,0.0,276.0,913.0,5,Ex,1,3,913,1209,0,2122,1.0,0.0,2,1,4,1,Gd,8,3,1,TA,6,1997.0,RFn,2.0,559.0,TA,TA,1,0,74,0,0,0,0,N/A,2,1,0,4,2009,3,220000
2,153,535304180,20,4,68.0,7922,2,2,3,1,2,3,2,8,5,5,3,1,5,7,1953,2007,2,1,1,2,3,0.0,TA,Gd,1,TA,TA,5,GLQ,731.0,Unf,0.0,326.0,1057.0,5,TA,1,3,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,5,3,0,N/A,5,1953.0,Unf,1.0,246.0,TA,TA,1,0,52,0,0,0,0,N/A,2,1,0,1,2010,3,109000
3,318,916386060,60,4,73.0,9802,2,2,3,1,2,3,2,21,5,5,3,2,5,5,2006,2007,2,1,1,2,3,0.0,TA,TA,6,Gd,TA,5,Unf,0.0,Unf,0.0,384.0,384.0,5,Gd,1,3,744,700,0,1444,0.0,0.0,2,1,3,1,TA,7,3,0,N/A,4,2007.0,Fin,2.0,400.0,TA,TA,1,100,0,0,0,0,0,N/A,2,1,0,4,2010,3,174000
4,255,906425045,50,4,82.0,14235,2,2,2,1,2,3,2,16,5,5,3,5,6,8,1900,1993,2,1,6,1,3,0.0,TA,TA,6,Fa,Gd,5,Unf,0.0,Unf,0.0,676.0,676.0,5,TA,1,3,831,614,0,1445,0.0,0.0,2,0,3,1,TA,6,3,0,N/A,5,1957.0,Unf,2.0,484.0,TA,TA,2,0,59,0,0,0,0,N/A,2,1,0,3,2010,3,138500
5,138,535126040,20,4,137.0,16492,2,2,2,1,2,2,2,8,2,5,3,1,6,6,1966,2002,2,1,15,1,3,0.0,Gd,TA,1,TA,TA,5,ALQ,247.0,Rec,713.0,557.0,1517.0,5,Ex,1,3,1888,0,0,1888,0.0,0.0,2,1,2,1,Gd,6,4,1,Gd,6,1966.0,Fin,2.0,578.0,TA,TA,1,0,0,0,0,0,0,N/A,2,1,0,6,2010,3,190000
6,2827,908186070,180,6,35.0,3675,2,2,3,1,2,3,2,6,5,5,2,7,6,5,2005,2006,2,1,1,2,5,82.0,TA,TA,6,Gd,TA,1,GLQ,547.0,Unf,0.0,0.0,547.0,5,Gd,1,3,1072,0,0,1072,1.0,0.0,2,0,2,1,TA,5,3,0,N/A,7,2005.0,Fin,2.0,525.0,TA,TA,1,0,44,0,0,0,0,N/A,2,1,0,6,2006,1,140000
7,145,535154050,20,4,0.0,12160,2,2,2,1,2,3,2,8,5,5,3,1,5,5,1959,1959,1,1,2,1,5,180.0,TA,TA,1,TA,TA,5,Rec,1000.0,Unf,0.0,188.0,1188.0,5,Fa,1,3,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,6,3,0,N/A,6,1959.0,RFn,2.0,531.0,TA,TA,1,0,0,0,0,0,0,N/A,5,1,0,5,2010,9,142000
8,1942,535353130,20,4,0.0,15783,2,2,3,1,2,3,2,19,1,5,3,1,5,5,1952,1952,2,1,6,6,3,0.0,TA,TA,1,TA,TA,5,Rec,292.0,Unf,0.0,632.0,924.0,5,TA,1,3,924,0,0,924,0.0,0.0,1,0,2,1,TA,6,3,0,N/A,5,1952.0,Unf,1.0,420.0,TA,TA,1,0,324,0,0,0,0,N/A,5,3,400,6,2007,3,112500
9,1956,535426130,60,4,70.0,11606,2,2,2,3,2,3,3,8,5,5,3,2,5,5,1969,1969,2,1,2,1,5,192.0,TA,TA,6,Gd,TA,4,Rec,650.0,Unf,0.0,390.0,1040.0,5,TA,1,3,1040,1040,0,2080,0.0,1.0,1,2,5,1,Fa,9,3,2,TA,6,1969.0,Unf,2.0,504.0,TA,TA,1,335,0,0,0,0,0,N/A,2,1,0,9,2007,3,135000
10,1044,527451290,160,6,21.0,1680,2,2,3,1,2,3,2,11,5,5,1,2,6,5,1971,1971,2,1,11,10,5,232.0,TA,TA,1,TA,TA,5,ALQ,387.0,Unf,0.0,96.0,483.0,5,TA,1,3,483,504,0,987,0.0,0.0,1,1,2,1,TA,4,3,0,N/A,5,1971.0,Unf,1.0,264.0,TA,TA,1,0,0,0,0,0,0,N/A,2,1,0,7,2008,9,85400
11,2752,906380150,20,4,64.0,7488,2,2,2,1,2,3,2,17,5,5,3,1,7,5,2005,2005,2,1,1,2,3,0.0,Gd,TA,6,Gd,TA,4,GLQ,393.0,Unf,0.0,815.0,1208.0,5,Ex,1,3,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,3,0,N/A,6,2005.0,RFn,2.0,632.0,TA,TA,1,105,58,0,0,0,0,N/A,2,1,0,2,2006,3,183600
12,807,906226060,70,4,120.0,26400,2,2,3,2,2,5,2,16,8,5,3,2,5,7,1880,2007,2,1,11,10,3,0.0,Gd,TA,6,N/A,N/A,2,N/A,0.0,N/A,0.0,0.0,0.0,5,Ex,1,3,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,4,1,TA,6,1900.0,Unf,2.0,576.0,TA,TA,3,0,0,0,0,0,0,N/A,2,1,0,6,2009,3,131000
13,1177,533236070,160,5,24.0,2645,2,3,3,1,2,3,2,15,5,5,1,2,8,5,1999,2000,2,1,9,8,5,456.0,Gd,TA,6,Gd,TA,5,GLQ,813.0,Unf,0.0,147.0,960.0,5,Ex,1,3,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,3,0,N/A,5,2000.0,Unf,2.0,480.0,TA,TA,1,169,0,0,0,0,0,N/A,2,1,0,12,2008,7,200000
14,1480,907418040,20,4,74.0,9627,2,2,3,1,2,3,2,17,5,5,3,1,7,5,2007,2007,2,1,1,2,3,0.0,Gd,TA,6,Gd,TA,4,GLQ,24.0,Unf,0.0,1327.0,1351.0,5,Ex,1,3,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,3,0,N/A,6,2007.0,RFn,2.0,610.0,TA,TA,1,0,50,0,0,0,0,N/A,2,1,0,6,2008,3,193000
15,324,923202105,20,4,93.0,10114,2,2,3,1,2,3,2,26,5,5,3,1,5,5,2004,2005,2,1,1,2,3,0.0,TA,TA,6,Ex,TA,4,Unf,0.0,Unf,0.0,1430.0,1430.0,5,Ex,1,3,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,3,0,N/A,6,2004.0,RFn,2.0,624.0,TA,TA,1,0,0,0,0,0,0,N/A,2,1,0,3,2010,3,173500
16,1311,902301140,70,6,34.0,4571,2,1,3,1,2,3,2,19,5,5,3,2,5,5,1916,1950,2,1,10,9,3,0.0,TA,TA,2,TA,TA,5,Unf,0.0,Unf,0.0,624.0,624.0,5,Fa,2,3,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,3,0,N/A,5,1916.0,Unf,3.0,513.0,Fa,Fa,1,0,0,96,0,0,0,N/A,2,1,0,5,2008,9,98000
17,770,905101490,20,4,80.0,8816,2,2,3,1,2,2,2,12,8,5,3,1,5,6,1963,1963,2,1,1,2,3,0.0,TA,TA,6,TA,TA,5,Rec,651.0,Unf,0.0,470.0,1121.0,5,TA,1,3,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,3,0,N/A,5,1963.0,Unf,2.0,480.0,TA,TA,1,0,80,0,0,0,0,N/A,5,1,0,6,2009,3,139000
18,2063,905107140,20,4,71.0,8197,2,2,3,1,2,3,2,12,5,5,3,1,6,5,1977,1977,2,1,2,1,5,148.0,TA,TA,1,TA,TA,5,Unf,0.0,Unf,0.0,660.0,660.0,5,Ex,1,3,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,3,1,TA,6,1977.0,RFn,2.0,528.0,TA,TA,1,138,0,0,0,0,0,N/A,5,1,0,4,2007,3,143500
19,69,528458070,60,5,72.0,8640,2,2,3,1,2,3,2,15,5,5,3,2,7,5,2009,2009,2,1,1,2,3,0.0,TA,TA,6,Gd,TA,3,GLQ,24.0,Unf,0.0,732.0,756.0,5,Ex,1,3,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,3,0,N/A,6,2009.0,Unf,2.0,614.0,TA,TA,1,169,45,0,0,0,0,N/A,2,1,0,6,2010,8,215200
20,2062,905106150,20,4,109.0,8724,2,2,3,1,2,3,2,12,5,5,3,1,5,5,1968,1968,2,1,1,2,3,0.0,TA,TA,1,Gd,TA,5,BLQ,492.0,Unf,0.0,402.0,894.0,5,Gd,1,3,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,3,1,Po,6,1968.0,Fin,2.0,450.0,TA,TA,1,0,0,0,0,0,0,N/A,2,1,0,5,2007,3,129000
21,351,527131030,120,4,40.0,5664,2,2,2,1,2,3,2,20,5,5,2,1,8,5,2000,2000,2,1,12,14,3,0.0,Gd,TA,6,Gd,TA,5,GLQ,1158.0,Unf,0.0,343.0,1501.0,5,Ex,1,3,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,3,1,Ex,6,2000.0,Fin,2.0,499.0,TA,TA,1,212,59,0,0,0,0,N/A,2,1,0,10,2009,3,278000
22,2393,528142010,60,4,103.0,12867,2,2,2,1,2,2,2,23,5,5,3,2,8,5,2005,2006,2,1,12,14,1,0.0,Gd,TA,6,Ex,TA,4,Unf,0.0,Unf,0.0,1209.0,1209.0,5,Ex,1,3,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,3,1,Gd,6,2005.0,Fin,2.0,575.0,TA,TA,1,243,142,0,0,0,0,N/A,2,1,0,7,2006,1,344133
23,12,527165230,20,4,0.0,7980,2,2,2,1,2,3,2,2,5,5,3,1,6,7,1992,2007,2,1,11,10,3,0.0,TA,Gd,6,Gd,TA,5,ALQ,935.0,Unf,0.0,233.0,1168.0,5,Ex,1,3,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,3,0,N/A,6,1992.0,Fin,2.0,420.0,TA,TA,1,483,21,0,0,0,0,N/A,3,3,500,3,2010,3,185000
24,2339,527250040,190,4,100.0,34650,2,2,3,2,2,3,2,2,5,5,5,1,5,5,1955,1955,1,1,6,6,3,0.0,TA,TA,1,TA,TA,3,Rec,1056.0,Unf,0.0,0.0,1056.0,5,TA,2,3,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,3,0,N/A,6,1955.0,Fin,2.0,572.0,TA,TA,1,264,0,0,0,0,0,N/A,2,1,0,1,2006,3,145000
25,624,535104120,20,4,92.0,10573,2,2,2,1,2,2,2,8,5,5,3,1,6,6,1961,1961,1,1,9,8,5,3.0,TA,TA,1,TA,TA,5,Rec,1312.0,Unf,0.0,141.0,1453.0,5,Ex,1,3,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,3,1,TA,6,1961.0,RFn,2.0,530.0,TA,TA,1,0,49,0,0,288,0,N/A,3,1,0,4,2009,3,187500
26,86,532376160,20,4,65.0,8450,2,2,3,1,2,3,2,12,4,5,3,1,5,8,1965,2009,2,1,9,8,3,0.0,TA,Gd,1,TA,TA,5,GLQ,553.0,BLQ,117.0,224.0,894.0,5,Ex,1,3,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,3,1,Gd,5,1973.0,Unf,1.0,336.0,TA,TA,1,416,144,0,0,0,0,N/A,5,1,0,4,2010,3,138500
27,1534,909277040,50,4,0.0,11700,2,1,2,3,2,3,1,4,5,5,3,5,5,6,1937,1995,2,1,7,12,3,0.0,TA,TA,1,TA,TA,5,BLQ,606.0,Unf,0.0,336.0,942.0,5,Ex,1,3,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,5,1,Gd,5,1937.0,Unf,1.0,240.0,TA,TA,1,0,40,0,0,0,0,N/A,2,1,0,7,2008,3,198000
