,coefficients
Id,-624.5319832840283
PID,-2914.1346319774993
MS SubClass,-3694.511128469456
MS Zoning,-1324.7748495202243
Lot Frontage,1397.0353867243505
Lot Area,2352.8088457927183
Street,976.3305965037104
Alley,-169.74775562575914
Lot Shape,-423.0785119133318
Land Contour,2543.3055494937935
Utilities,-715.7856156037734
Lot Config,-1300.710550156851
Land Slope,-871.723760380803
Neighborhood,3389.8898213743337
Condition 1,440.66162307694844
Condition 2,-142.34147841207778
Bldg Type,731.3874736576199
House Style,116.21395155002583
Overall Qual,15876.073713278989
Overall Cond,3408.2924714286864
Year Built,5593.317826035035
Year Remod/Add,4824.6155125351415
Roof Style,-2602.5720302983773
Roof Matl,-408.12819808026813
Exterior 1st,340.9927161451781
Exterior 2nd,1088.1571163310973
Mas Vnr Type,-1332.3998450406523
Mas Vnr Area,6237.584690820618
Foundation,5131.203803626174
Bsmt Exposure,-5631.378144283957
BsmtFin SF 1,4654.922091628625
BsmtFin SF 2,950.6656088699918
Bsmt Unf SF,745.484080962637
Total Bsmt SF,5857.6643783593845
Heating,768.2955751006714
Central Air,125.01495489670961
Electrical,193.9382480600312
1st Flr SF,6676.153681211584
2nd Flr SF,5105.649428355801
Low Qual Fin SF,-173.29659663252704
Gr Liv Area,9613.824610671776
Bsmt Full Bath,3545.8584681770963
Bsmt Half Bath,-1041.048777974747
Full Bath,3541.245775527576
Half Bath,2017.537122942665
Bedroom AbvGr,-1732.4998210293527
Kitchen AbvGr,-4367.377877035997
TotRms AbvGrd,5568.926218564604
Functional,-2178.7873392220904
Fireplaces,4590.579116251088
Garage Type,-1389.7516342009146
Garage Yr Blt,-1217.8246376991497
Garage Cars,4885.537153488123
Garage Area,5077.292294648408
Paved Drive,-934.4869751254435
Wood Deck SF,2509.8220438261037
Open Porch SF,1311.8818095529682
Enclosed Porch,419.210669415645
3Ssn Porch,595.1876726492525
Screen Porch,3766.036061361768
Pool Area,-2554.166832305284
Fence,-531.5015738305648
Misc Feature,641.1592703613844
Misc Val,-5398.92768349483
Mo Sold,519.6298874045259
Yr Sold,-847.3404777423663
Sale Type,-2922.2742678723603
