,Predicted Price,Price
0,248211.30774263915,242000
1,215086.97977913317,135000
2,175744.17363409812,160000
3,104317.04376638643,110000
4,114306.13555106902,104900
5,159173.26412286138,143000
6,115852.95521806569,124500
7,231241.74272950398,251000
8,127173.404526215,134432
9,120752.10831517378,105900
10,160987.1602398581,158000
11,91422.14304313796,108500
12,178247.6274741813,179900
13,105554.05783218387,145000
14,134189.89198899383,150000
15,121222.89075198217,136000
16,199837.6575276215,202000
17,241002.56980506243,209000
18,159825.9159326498,146000
19,375025.34729680116,475000
20,122058.74712971126,105000
21,235232.82183326024,225000
22,134216.831416456,127000
23,139331.5226374825,134800
24,70870.63763635223,12789
25,184792.52243050036,165000
26,161656.37406346542,125000
27,180445.0180439092,203000
28,182396.47296240376,168000
29,125020.14552178391,109500
30,253526.25704256372,220000
31,278928.479844428,322400
32,138952.45494074057,158500
33,176804.1801768754,167500
34,97724.0377392516,118000
35,193351.87016309134,148400
36,148436.40470323776,150000
37,81670.58325159267,109000
38,130029.70714579782,126500
39,181363.3413618964,168500
40,168256.38402354132,147900
41,263600.04761010595,264561
42,290698.5281507926,317000
43,178591.666524732,178000
44,177407.76944948884,153000
45,376181.96172098874,582933
46,147129.6519447915,144000
47,213183.26489827674,182000
48,176036.8288201977,159000
49,220862.86705405804,216500
50,178788.54810803963,159000
51,159921.90686273255,149500
52,235174.87434039646,205000
53,149945.50091389648,136500
54,109517.20086385855,119750
55,97962.2119273693,108500
56,152198.30133151246,103500
57,253234.6136163731,262000
58,118561.44377107659,120000
59,178771.87015534824,170000
60,106990.19049009944,128000
61,135980.04212263194,130000
62,109483.57724929648,125600
63,161040.264088516,143000
64,65410.15711375397,83000
65,253515.36362086888,250000
66,125649.49254214547,132000
67,179055.85075669785,162000
68,159862.72076908915,170000
69,276439.6899686615,279900
70,73109.36194016655,50000
71,121103.01955399825,107500
72,157362.23835127996,164000
73,194845.31190882763,180000
74,183653.4566352533,177900
75,161948.98969340665,194000
76,191110.32915674828,187000
77,148070.3222803096,152400
78,127488.96007296597,92000
79,222376.2525426952,224243
80,156625.77087704028,120000
81,235193.62767519732,214000
82,193160.29454609368,167000
83,191133.55070612035,170000
84,122718.03239725914,129800
85,172536.08341867922,154300
86,202933.99535987244,200500
87,116064.63442081129,128900
88,246664.8126010089,219500
89,213228.24079104158,178000
90,194531.06746669736,193000
91,159585.3829433385,146500
92,94270.63799091034,106500
93,209125.54133728688,192000
94,188149.50940595558,160000
95,139060.4418073662,140000
96,135078.79556815748,138400
97,184462.87265543046,162500
98,305100.7208332888,350000
99,129993.14985774137,128000
100,53365.39052612714,37900
101,70138.15708632948,50138
102,235586.80186500162,260000
103,193452.17383378532,206000
104,193333.05407608065,195800
105,198860.31428056222,190000
106,121613.85420357049,115000
107,155493.0995016659,136500
108,118724.83879227295,123600
109,187430.74877062952,177625
110,168728.66234224886,123000
111,109580.57258619304,120000
112,162878.187621554,147000
113,146544.42686607697,140000
114,196888.56472647662,185500
115,128970.0112126873,153000
116,84114.25124279322,135000
117,220150.7205388628,186800
118,204432.08835233163,199500
119,116969.76572548907,105000
120,132208.09040540864,118000
121,267959.08118907554,263550
122,223255.2656461677,200000
123,186328.1777845902,133000
124,220551.28200865112,191000
125,142511.9676787206,128500
126,202407.48345354034,173000
127,106467.17711748638,99900
128,225989.04417117854,220000
129,91227.84020799997,80000
130,163824.69882496685,162500
131,209060.62195101645,215000
132,303269.52014075033,325000
133,304216.48227532394,282000
134,204564.9715553068,174850
135,266016.7109915976,250000
136,193947.4494412774,147000
137,205166.3307433175,189000
138,276499.74720923055,295000
139,149446.02554582283,136900
140,135386.30177997643,132000
141,195449.33536408193,163000
142,206225.98789493745,190000
143,98502.41517948061,111250
144,380099.5126582122,457347
145,90035.87040477201,89900
146,137374.32596233935,137000
147,108259.31264632694,64500
148,143761.949238722,130000
149,196741.7058386864,176485
150,130272.27190604304,139500
151,339720.0252628672,426000
152,264950.57590008236,203000
153,134657.32628630163,140000
154,90155.59129559182,109500
155,170649.22072283254,164700
156,126299.47302032776,149000
157,184564.55620575644,178000
158,291915.2509296468,320000
159,319587.1042421295,341000
160,261541.90007617144,250000
161,216105.01296975598,215000
162,66690.18329100891,85500
163,238296.86955423205,215000
164,76310.92973384896,106500
165,129225.45786301355,166000
166,219270.61752166576,256000
167,227246.70965140403,207000
168,182975.62301350097,163000
169,152088.50670285028,135500
170,224142.84380954842,231500
171,245362.2303672731,248328
172,290092.42509971146,284000
173,166136.62994816672,178000
174,188388.2365950966,162000
175,250786.67313736453,262500
176,192456.88250350053,187500
177,116229.77536540662,129900
178,135182.16946218925,128900
179,172835.1317335775,164500
180,234416.7356417971,188500
181,282817.15133330383,415000
182,34511.87474179367,172000
183,118716.72339055198,120000
184,143790.09907507617,136300
185,147456.31877411908,174500
186,90246.16166401187,85500
187,275524.3337403526,280000
188,107937.461928072,125000
189,238972.67119442346,239900
190,272482.77861277026,275000
191,253306.89943917547,239000
192,225568.55675192794,224500
193,32153.181018128555,39300
194,235518.82839514356,253000
195,215739.95555440275,244000
196,176385.48289818465,136000
197,144312.87241582238,135000
198,143670.68201668953,146000
199,107734.4513060016,108000
200,154127.98495525453,128000
201,92802.73176440567,99900
202,153650.0917680892,127500
203,396923.1209144456,460000
204,145875.72721886873,126000
205,168576.53549797222,144000
206,145646.43007374284,141000
207,146983.6487388198,175000
208,265105.61279690906,235000
209,30915.11902341718,57625
210,140498.3051132465,132000
211,208430.81729333222,195400
212,169502.88518719867,158000
213,194201.69084175394,190550
214,171061.5687094469,149000
215,200023.33349003684,184900
216,198046.40903029338,195000
217,322352.206612426,440000
218,316752.11165707366,342643
219,263239.39251372626,290000
220,324805.1882966319,392000
221,247973.6733181349,279700
222,147335.304901716,134000
223,123412.96709644824,114000
224,253451.51659137648,237000
225,191879.45630625606,129000
226,283964.3710140402,345000
227,246650.86196324855,268000
228,230661.8679495894,217500
229,312397.54302771576,349265
230,169877.825878283,160000
231,182438.91019164285,173500
232,166566.04004750776,153900
233,199290.70242378503,172000
234,86707.48159783338,85400
235,170023.34047195324,149900
236,71986.39397563701,80000
237,99607.42299950118,100000
238,211542.49529835087,185900
239,150376.90607869963,140000
240,129761.44772177876,144000
241,132728.41396853098,137000
242,196479.55361245692,180000
243,94751.64854968834,64000
244,165406.8834966493,149900
245,146632.8356661403,139000
246,147837.19129994168,143000
247,94590.27542507599,105000
248,238162.80329704098,232000
249,69221.0653178532,75000
250,123084.4132372578,140000
251,167531.7078045843,150000
252,122064.68097266679,129500
253,187774.77930061417,190000
254,220086.4198339112,214000
255,113956.64083021207,130000
256,165637.62537828562,146000
257,166846.07538919672,157000
258,179691.60041793698,180400
259,193403.97266292683,173000
260,240340.90053585987,230500
261,244444.62670888292,240000
262,165939.28722610735,149500
263,99036.31584630291,110000
264,133954.15624743488,118858
265,219552.70864421988,219500
266,261400.00677025612,245000
267,225219.5420654313,174000
268,226198.5530180976,187000
269,180327.6540586066,175000
270,143986.50167154695,144000
271,253997.93908726837,286000
272,117552.64507633119,128000
273,282738.7006200559,360000
274,128554.94388934961,133500
275,99361.69245391259,95000
276,222558.11438180372,195000
277,173895.09602497195,150000
278,130785.34314258001,147500
279,142520.63789529397,145000
280,216141.54807255213,172500
281,212807.9261379454,213500
282,291428.2683094237,277500
283,165927.7255624592,131000
284,166654.5722163844,149700
285,241107.96039436065,228000
286,206497.40439953792,171750
287,176678.48080864517,152000
288,190571.97606114103,181000
289,245588.44520260373,252000
290,233019.6665526458,211000
291,221098.22229578055,185000
292,142511.11795752787,163500
293,262210.8042279298,324000
294,196662.54371544727,173000
295,182132.7940730877,173000
296,267926.6058399733,300000
297,170556.91018808738,143500
298,110221.20056719954,123900
299,149949.30050661857,145500
300,142043.0770858952,141000
301,153097.63988077492,205000
302,153742.2497460376,137450
303,288488.10650200746,269500
304,155760.76970350093,140000
305,143557.42188473808,154400
306,195784.21806336284,176000
