,Predicted Price,Price
0,161117.3832798479,192140
1,181273.79539866844,178000
2,104456.50469926195,133000
3,173860.22250027402,165000
4,87318.47583193053,75000
5,240158.74584877276,290000
6,222876.6148307015,130000
7,150348.60559393745,97000
8,254153.38629711367,251000
9,138751.6594171633,93850
10,32953.72019623284,99800
11,136705.5468072777,156500
12,234878.09676128818,245500
13,130298.10165937964,147500
14,290248.98014748225,332200
15,195783.21664266894,189000
16,216151.44513001508,185900
17,117906.84410063468,85000
18,166200.97612446122,185000
19,204925.1775981607,152000
20,129874.46892232852,93500
21,241815.0828305001,184100
22,182809.46407047875,169000
23,219824.37447031948,204000
24,211086.9492686403,214500
25,148249.5388919204,152000
26,301229.57420191827,349265
27,270675.063042107,370000
28,235532.64285010338,195000
29,222188.21163299342,198000
30,159105.1277788551,141000
31,146396.1456673218,103500
32,89224.82314866054,68400
33,39678.889896919194,64000
34,198358.8701738685,187687
35,170206.3901432082,128000
36,197001.16076169093,178000
37,287707.1837251756,300000
38,275142.30376438214,383970
39,165883.25157167285,160000
40,118932.0688343696,228500
41,243986.200607887,247000
42,192798.69050007267,152000
43,112081.8939661819,114500
44,110069.63846518914,130000
45,218693.24155232176,213000
46,127438.58068428465,120000
47,174442.71751371934,185000
48,176507.92710684345,174000
49,142477.54284959906,167000
50,205560.62670373736,165000
51,171371.38017009874,161500
52,201271.34524109488,187750
53,109540.09754387525,130000
54,142987.9867876744,133000
55,219010.96610511007,167000
56,126167.68247313131,135000
57,230396.09591335867,192100
58,75244.9428259739,120500
59,170543.2116792351,131000
60,164910.98093006935,181500
61,181379.70358293125,177500
62,123519.97786656188,155000
63,168194.13464221545,122000
64,196100.9411954573,187000
65,232143.58095369447,240900
66,250167.0692616052,272000
67,192870.7415754426,165150
68,198676.5947266568,160000
69,168882.53783992352,181000
70,235056.05602092086,227000
71,188244.63857677323,148500
72,175289.9829878215,176000
73,156173.55572839017,152000
74,195836.17073480034,143000
75,133951.93401644548,216000
76,304069.9981937747,274000
77,223882.74258119788,190000
78,209479.22952146013,179540
79,146959.54369752854,143000
80,214456.9141818107,241000
81,139882.792335161,218000
